Step,push,pull,pushbar
0,0.6762222170829779,0.573333406448364,0.48666669130325396
1,0.5938888907432559,0.52622219324112,0.49555553197860797
2,0.645555567741394,0.5255555748939519,0.49833334684372005
3,0.638666701316834,0.628888928890228,0.5559999465942379
4,0.6495555758476259,0.49833335876464796,0.655000042915344
5,0.676666688919068,0.446592593193054,0.690000009536744
6,0.696666729450226,0.588888907432556,0.66111112833023
7,0.65888888835907,0.57555558681488,0.685555529594422
8,0.641333293914794,0.5988888382911679,0.6133333563804619
9,0.773111116886138,0.5973333358764639,0.5775555491447439
10,0.603888940811158,0.5838889122009279,0.7027777552604679
11,0.7183332562446599,0.5075757741928099,0.565000009536744
12,0.6158889651298519,0.5022222638130179,0.7744444131851199
13,0.667777848243714,0.5222221851348879,0.601111125946044
14,0.5911111354827879,0.615777695178986,0.6095555543899539
15,0.6672222733497619,0.588888907432556,0.7799999833107
16,0.6495556354522699,0.5502222418785099,0.6853333234786979
17,0.652222287654876,0.6005555629730219,0.662222278118134
18,0.6577778577804559,0.617777788639068,0.674444389343262
19,0.6111111164093019,0.6144443988800039,0.72444440126419
20,0.6843810200691219,0.6933333516120919,0.7188888907432559
21,0.705238115787506,0.626666629314422,0.839999985694886
22,0.802222263813018,0.6383333444595339,0.726666700839996
23,0.7361111164093019,0.5961111426353459,0.7633333325386039
24,0.774999988079072,0.6475000023841859,0.71233333349228
25,0.7783334374427799,0.7311111330986019,0.7055555701255799
26,0.663333368301392,0.6611111402511599,0.7055555701255799
27,0.652222287654876,0.6251111268997199,0.683333349227906
28,0.73555554151535,0.6944445013999939,0.744444382190704
29,0.7499999523162839,0.6777778506278999,0.8499999761581419
30,0.719999980926514,0.637777769565582,0.684444439411164
31,0.6333333373069759,0.6261111140251159,0.771111142635346
32,0.7966666936874399,0.6438889145851139,0.704444420337676
33,0.66111112833023,0.6338889241218559,0.833333325386048
34,0.752777767181396,0.6977777719497679,0.837777745723724
35,0.775777769088746,0.6206666469573979,0.848888885974884
36,0.7027777552604679,0.7566666841506959,0.760000002384186
37,0.659555566310882,0.7194444179534919,0.7633333325386039
38,0.800000083446502,0.6766667008399959,0.824444484710694
39,0.6738888144493099,0.7455555438995359,0.7055555701255799
40,0.7655555725097659,0.7011111021041879,0.779444408416748
41,0.7255555510520939,0.6533333301544179,0.826666605472564
42,0.6995237588882439,0.6011111378669739,0.8477778553962699
43,0.7685714483261099,0.753888928890228,0.823888909816742
44,0.7386666655540459,0.7588889241218559,0.8817777752876279
45,0.7405555367469779,0.7199999928474419,0.839999985694886
46,0.788888823986054,0.6811111211776739,0.7455555319786079
47,0.817777824401856,0.749444508552552,0.7297778248786919
48,0.8655555367469779,0.70044448375702,0.8233333349227899
49,0.7211111307144159,0.7127777576446539,0.8780158877372739
50,0.7605555772781379,0.7022222518920899,0.815714251995086
51,0.703333389759064,0.7244444727897639,0.823888909816742
52,0.777222287654876,0.6844443917274479,0.8011111140251159
53,0.649999988079072,0.6161111235618599,0.8277777552604679
54,0.837777864933014,0.6866666913032539,0.904444468021392
55,0.753333342075348,0.6694444656372079,0.7255555510520939
56,0.700000059604644,0.6866666913032539,0.83611114025116
57,0.742222261428834,0.6899999618530279,0.803888928890228
58,0.7722222924232479,0.7771111369132999,0.826666724681854
59,0.766666722297668,0.801111125946044,0.8322222948074339
60,0.7673333406448359,0.7122222423553459,0.815333378314972
61,0.7544444322586059,0.7711111545562739,0.843174588680268
62,0.819444489479066,0.7033334016799919,0.875555527210236
63,0.7499999523162839,0.744999969005584,0.853333365917206
64,0.799999964237214,0.6977777719497679,0.8011111140251159
